Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,2.187,9,19,714219
2,Java,2.098,9,18,640025
3,Java,0.980,9,17,410845
4,Java,1.916,9,19,554918
5,Java,1.962,9,18,611601
6,Java,1.317,9,18,537521
7,Java,1.692,9,19,733907
8,Java,2.221,9,18,612021
9,Java,2.089,9,17,430587
10,Java,2.356,9,17,410820
11,Java,2.086,9,18,579300
12,Java,0.968,9,19,715580
13,Java,1.060,9,17,412331
14,Java,1.922,9,18,637325
15,Java,1.941,9,19,667908
16,Java,1.075,9,18,331545
17,Java,1.924,9,19,631510
18,Java,2.063,9,17,429857
19,Java,1.147,9,18,531906
20,Java,2.124,9,18,638890
21,Java,2.239,9,18,654739
22,Java,2.500,9,20,659893
23,Java,1.427,9,18,535804
24,Java,0.921,9,18,577448
25,Java,1.190,9,19,691556
26,Java,2.134,9,18,525181
27,Java,1.017,9,18,575766
28,Java,2.163,9,18,536486
29,Java,2.122,9,18,524616
30,Java,2.355,9,18,532277
31,Java,1.082,9,18,638442
32,Java,1.008,9,18,611731
33,Java,1.399,9,18,622637
34,Java,1.929,9,17,411357
35,Java,0.934,9,18,639133
36,Java,1.169,9,20,631854
37,Java,2.020,9,17,430395
38,Java,2.184,9,18,576450
39,Java,2.151,9,18,638264
40,Java,1.116,9,18,578608
41,Java,2.065,9,18,332446
42,Java,2.058,9,19,687504
43,Java,2.256,9,18,655846
44,Java,1.111,9,18,612006
45,Java,2.096,9,18,526811
46,Java,1.071,9,20,631370
47,Java,1.063,9,18,501281
48,Java,2.202,9,19,560851
49,Java,1.143,9,18,579449
50,Java,1.851,9,18,655054
