Sample Number,Language,Time,Number of Partitioning Stages,Number of Exchanges,Number of Compares
1,Java,0.161,9,593,1168
2,Java,0.197,7,332,650
3,Java,0.177,9,701,1384
4,Java,0.191,8,467,918
5,Java,0.179,8,322,628
6,Java,0.175,9,627,1236
7,Java,0.164,7,205,396
8,Java,0.161,9,544,1070
9,Java,0.175,8,563,1110
10,Java,0.171,9,514,1010
11,Java,0.183,10,666,1312
12,Java,0.180,9,615,1212
13,Java,0.163,8,464,912
14,Java,0.162,7,188,362
15,Java,0.254,9,672,1326
16,Java,0.237,10,528,1036
17,Java,0.252,9,514,1010
18,Java,0.180,9,527,1036
19,Java,0.147,11,624,1226
20,Java,0.157,8,551,1086
21,Java,0.179,8,454,892
22,Java,0.443,7,418,822
23,Java,0.292,8,503,990
24,Java,0.335,8,584,1152
25,Java,0.226,10,771,1522
26,Java,0.280,11,763,1504
27,Java,0.323,8,535,1054
28,Java,0.409,8,450,884
29,Java,0.185,10,740,1460
30,Java,0.259,11,732,1442
31,Java,0.224,10,691,1362
32,Java,0.301,9,555,1092
33,Java,0.353,12,809,1594
34,Java,0.306,11,806,1590
35,Java,0.261,9,662,1306
36,Java,0.280,7,201,388
37,Java,0.198,9,550,1082
38,Java,0.189,8,505,994
39,Java,0.186,6,277,542
40,Java,0.173,8,586,1156
41,Java,0.166,8,341,666
42,Java,0.176,9,605,1192
43,Java,0.181,9,460,902
44,Java,0.176,10,670,1320
45,Java,0.184,10,674,1328
46,Java,0.204,9,592,1166
47,Java,0.187,7,356,698
48,Java,0.211,8,466,916
49,Java,0.177,8,423,830
50,Java,0.178,8,465,914
51,Java,0.184,9,536,1054
52,Java,0.224,8,477,938
53,Java,0.233,7,378,742
54,Java,0.234,9,629,1240
55,Java,0.188,8,687,1358
56,Java,0.192,8,573,1130
57,Java,0.201,9,343,668
58,Java,0.235,9,651,1284
59,Java,0.175,8,533,1050
60,Java,0.144,9,595,1172
61,Java,0.270,7,364,714
62,Java,0.172,8,610,1204
63,Java,0.181,5,249,488
64,Java,0.185,7,394,774
65,Java,0.201,8,415,814
66,Java,0.284,10,728,1436
67,Java,0.319,9,472,926
68,Java,0.176,12,792,1560
69,Java,0.211,9,642,1266
70,Java,0.242,10,681,1342
71,Java,0.185,8,469,922
72,Java,0.197,8,471,926
73,Java,0.232,9,547,1076
74,Java,0.223,8,462,908
75,Java,0.207,10,525,1030
76,Java,0.197,8,587,1158
77,Java,0.194,9,677,1336
78,Java,0.206,5,407,804
79,Java,0.162,8,508,1000
80,Java,0.199,7,191,368
81,Java,0.228,7,404,794
82,Java,0.227,8,546,1076
83,Java,0.236,5,412,814
84,Java,0.186,5,428,846
85,Java,0.268,9,605,1192
86,Java,0.243,8,513,1010
87,Java,0.141,10,549,1078
88,Java,0.301,9,559,1100
89,Java,0.185,9,642,1266
90,Java,0.189,9,607,1196
91,Java,0.219,9,665,1312
92,Java,0.226,5,304,598
93,Java,0.198,9,584,1150
94,Java,0.163,9,583,1148
95,Java,0.212,8,516,1016
96,Java,0.212,11,645,1268
97,Java,0.187,10,692,1364
98,Java,0.201,9,671,1324
99,Java,0.229,7,284,554
100,Java,0.194,8,354,692
101,Java,0.213,9,523,1028
102,Java,0.203,11,580,1138
103,Java,0.191,5,320,630
104,Java,0.245,8,431,846
105,Java,0.187,9,636,1254
106,Java,0.184,7,184,354
107,Java,0.172,4,164,320
108,Java,0.179,10,767,1514
109,Java,0.182,12,738,1452
110,Java,0.153,8,434,852
